"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,2.21603536794498,5.01551405280657,1.3584427611612,2.76836405008051,3.14670988139012,3.33747916522244,2.49591347440904,1.9347344489287,0.801162618483408,0.786848521662143,0,0.312301098454964,0,0,0,0,0,0,0,0,0,0
1997,0.0973656162054269,0.843522393288399,1.65925351042649,2.23867645748494,2.02230864667055,1.7574508054466,1.95223651801839,1.38743227431739,1.1892626637454,1.43915468056614,1.29768035699474,1.0861473719608,0.810676237239298,0.0862089305728729,0.0741687920523191,0.0321653769928823,0.0649516333597246,0.113058806805373,0,0,0,0,0
1998,0.764333552146731,0.591697241224009,0.50699778165717,1.08610428746702,1.41732807751847,1.2440602863701,1.51324349469311,1.22705849763327,1.5089302714114,0.787501379088526,0.484564279836243,0.369732176022021,0.29483973309475,0.0859691746652507,0.173353745339048,0,0,0,0,0,0,0,0
1999,1.53908850374623,1.30230482510795,0.804615868429021,1.68570621881121,1.73743253171392,1.5220899887254,1.25851260527898,1.28764438912727,1.61111140218495,1.15968487748302,0.848357844241504,0.371645718400184,0.126972425564582,0.222431425145089,0.132300136863509,0.0387008761105949,0.0140621787352391,0.0680612260115113,0,0.0322149879867117,0,0,0.0240845421943967
2000,0.727537403094356,1.12966979847776,0.624622966302366,0.54432886443099,1.12436474363079,1.18415469433915,1.23930758599737,0.959793175044152,0.71861398679323,0.636260697893487,0.952868774848241,0.251321702216775,0.197614762794807,0.12392948234987,0.0786675974590309,0,0.0332269348174435,0,0,0.0983800677991287,0,0,0
2001,0.402370959710159,1.23989743914356,1.38509685214125,1.69247591473476,2.11421278091466,1.55658030284002,1.38750252151977,1.27815272005821,1.01480943156227,0.867717349225228,0.838377209311721,0.937768724264767,0.518668052718601,0.339692405397355,0.11141067909598,0.0259437036539481,0.0251977796708752,0,0,0,0,0,0
2002,0.380772506853174,1.29785108030255,0.911854199592006,2.00055981459414,2.05007886215544,1.08197843628274,0.796118959552367,1.05466286688677,0.83192737549571,0.905430381479049,0.884628712901607,0.828851047001673,0.576305007809757,0.122748543407171,0.231682050790811,0.044265978204391,0,0,0.0401953305708075,0,0,0,0
2003,0.225475323167255,1.29815364380456,2.39946290211039,1.05161582981087,1.54325091974738,1.61935995467313,0.887735678903716,1.15252830228417,1.46847746185049,0.781361031258236,0.720666146266754,0.386172027188238,0.500938130555557,0.444668048052115,0.173073004080479,0.071319012092665,0,0,0,0,0,0,0
2004,0.583266439767573,0.421925401446105,1.16269898655341,1.711614796505,1.82133649716897,1.52911009762216,1.67176545074556,1.39788719074401,0.898503643523416,0.786658910492441,0.766162197269184,0.564699431779973,0.337952800299338,0.466324151420633,0.186946360600667,0.116650952178093,0.0257556506771914,0,0,0,0,0,0
2005,0.050580854794681,0.554540760031874,1.249185746268,1.47369032125415,1.94333812413536,1.20105980564734,1.41447132253891,1.3597970857719,0.693716369886703,0.979247797153561,1.00860534167634,0.556834431762532,0.249609582583893,0.417563308213817,0.390859406661862,0.080848410748576,0.118636783227599,0,0.048207540769716,0,0,0,0
2006,0.198940196751731,0.671320372058607,0.766378252239147,1.50456570807548,1.51703823944857,1.31071792105722,1.62384066288237,0.995273687623028,0.80006260549366,0.383788815360095,0.452431762862263,0.649413604309228,0.291680560437681,0.196673488052794,0.136686934990927,0.297908373395138,0.0387275025041655,0.0238959272570374,0.0473263684575559,0,0,0,0
2007,0.305161695663951,1.14077180192701,0.88684163775122,0.978879671668094,0.924588893958429,1.16568240206093,1.26675528595584,0.581559645172599,0.935272372220746,0.724694777295648,0.366191140318978,0.611340192278653,0.162390929052396,0.236413604464538,0.232669135708034,0.121127859928214,0.0399960242111409,0.0399960242111409,0.0416749950280947,0,0,0,0
2008,0.110758464525365,1.28330571328441,1.80894651043594,1.59012850594204,0.778222730694804,1.77317852337429,1.02468655051105,1.33777086053682,1.24357450869724,0.856546019691108,0.885491487723542,0.203963586542067,0.464658948336823,0.180111007638363,0.270818969370861,0.187694603019169,0.1395963399661,0.0727644738025307,0.0972252454135051,0,0,0,0
2009,0.407517097583608,0.585958039488089,1.40856381047904,1.11631752440612,0.525378268493626,0.762241093289477,1.15621528245911,0.949984093521043,1.30954916844545,0.651854180777711,0.366949317845937,0.308924159442513,0.234167616538897,0.27562200127889,0.186553860166834,0.171714582002892,0.051339405129516,0.0365416256788633,0,0,0,0.0395769248394278,0
2010,0.226455890761473,0.993780421592423,0.988977809692147,1.29865503563864,1.83381295910931,0.502394955316962,0.406068536219585,0.796625622227316,0.856401101539087,0.549618264387276,0.240153056110144,0.15026322081358,0.112906369263117,0.102904353368528,0.0786535275876935,0.094981163053767,0.0552495988453695,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0.532310182428406,1.02718858576114,1.1989208052048,1.02673763619808,1.71551217082257,1.53789026246385,0.861954693490371,0.701229404199924,0.301570788283396,0.551739409775139,0.257785603249089,0.0855777253825149,0.24029808574248,0.236446983743055,0.456648911465291,0.075391773511617,0.012971851826974,0.0117184822793659,0.106634542133553,0.0196016554172828,0,0,0
2013,0.431885841359812,0.782178903565887,0.823323499127562,0.423957549543794,0.733779897314557,0.906019601332559,0.74471492821355,0.163141648395209,0.506991093894984,0.385918044558395,0.404504342384413,0.166613274596681,0.164827782129287,0.20935470674254,0.05421204403026,0.0974826827116429,0.143967426960355,0,0.0140468423173086,0,0.0118092282534539,0,0
2014,0.0764794955015886,0.98616649332157,2.11995325165518,0.967508235219964,0.75698339199288,0.697303388488447,0.664228401638789,0.724451131153383,0.40945888430418,0.221184682458171,0.295863308343113,0.230796917174851,0.123850922739702,0.303837598934464,0,0.0641420462279505,0.0282926856032243,0.00261681322166806,0,0,0.0320710231139752,0,0
2015,0.0100223634591576,0.324266672509942,0.814261017749454,1.46040545283738,1.43700665781765,1.09324948145897,1.01027169396316,0.4110192796175,0.483007661174085,0.636191857163428,0.5856256285637,0.361797516904269,0.552591942116267,0.364910048367947,0.289219710722229,0.125026400936948,0.119070747133477,0.0129718518269741,0,0.0360157860340232,0,0,0
