"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,361.683914603159,98.9865280821592,78.9650529528088,17.2390791272768,7.39766389684722,18.2001032437695,1.62911763652411,0,0,0,0,0,0,0
1997,20.9242023431061,205.852328754409,55.8238879745198,38.4938860766628,7.52881933799953,5.90968489639352,6.10167853731618,0.264226177064267,0,0,0,0,0,0
1998,78.402887895452,30.4219004391716,130.209600185398,19.9072824278453,15.998798737421,5.52711493104753,5.15338684867603,1.73550593648938,0,0,0.206903636643999,0,0,0
1999,351.432442357734,69.8557735493407,28.2466253682645,93.0544020589987,11.6721320708239,10.9686595888212,0.688637195288302,2.04224199715387,0.306806273338868,0,0,0,0,0
2000,121.685829967617,255.583274897452,44.414582739293,7.53845074658815,28.5690475302836,2.66732359430671,3.08466752579001,0.234623664793502,0.392012442670366,0.562365986550674,0,0,0,0
2001,328.718489274989,273.60607591978,169.789346333345,32.5375203968034,4.8593549434079,13.8986388212973,1.21300727642306,0.596241881148599,0,0.0608057003926,0,0,0,0
2002,63.7504957813546,241.950041659201,188.669099528189,89.4052179747233,18.3966560263503,3.11139999053402,3.56470773258933,0.527281441339059,0.338205531792387,0,0,0,0,0
2003,272.113644704772,134.466519612076,257.330373073502,155.123374064455,54.3282095077037,10.4132101862637,1.84037698409847,0.778743341223638,0,0.132976273606686,0,0,0,0
2004,600.33001445929,342.267954294337,47.1801379578365,162.26831684586,69.070232933641,18.1695008120037,3.56744298892546,0.26916475575522,0.565271492656007,0,0,0,0,0
2005,52.5581456402439,550.716282613014,177.315185024391,25.9890049008426,89.5738042615495,27.4561220361073,9.87889119323955,1.69363028358186,0,0.338472650038826,0,0,0,0
2006,96.2662066074378,115.247968086461,499.044804817742,109.541119317473,14.2122040094734,39.594223617189,9.6026216976404,2.65152548787474,1.86079213452269,0,0,0,0,0
2007,78.5732418665945,73.5470661542374,92.7739357003694,325.940179351606,58.231606758641,8.14139830678242,10.6956862440203,4.21471596819493,0.714546040808661,0.253794207258877,0,0.154244283737597,0,0
2008,144.123548193505,91.464034828227,67.5921495082119,87.4097940582983,189.357618264886,15.0505157433006,2.53803643851067,4.07470881249718,0.35494755008553,0.141081544618529,0,0,0,0
2009,37.1081328712446,258.085767637046,77.5552818914256,30.9929451943295,44.3784629065016,93.936524280258,8.44767220596318,1.46161957847352,3.04037608516966,0.500650635984613,0.301906184872242,0.0405717054079321,0,0
2010,32.6176682438744,54.487819529215,141.257575393812,30.8957025085763,13.9162712160511,21.6280610576811,35.3453692805638,4.79569319032299,0.894098944043733,1.20964030675653,0.190032435082806,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,45.2008940827428,29.2076282983409,32.3215749345559,36.1389407376836,68.9808556004151,10.6810553762398,4.10402963684646,9.63643546471807,10.2340296499155,0.989913438519586,0.277431099772435,0.4434760880083,0.301606350735827,0
2013,93.5033469485322,116.318283265236,36.2190341067662,36.8534951316551,39.451691411217,44.6267163253458,6.86153754095171,2.19897146548455,5.6582065418457,5.10526762207013,0.771618933824047,0,0,0
2014,31.252045086613,45.1210506138688,63.6060079081479,24.0744654952258,25.4133468049156,21.9509679385751,25.2048444152963,2.18252642553107,2.46197326254748,3.83683210822953,1.31506477516237,0.417782867188846,0,0
2015,165.602476360948,37.8739319812536,38.1065285673705,44.7239343776798,15.8710559221915,17.5777166878943,10.3375465778975,11.9425899859789,2.32220863087065,1.48990287406947,0.740383719727889,1.42797300621128,0,0
2016,65.9138972855596,127.166349135407,23.7423632962227,18.2065345120864,19.5789947655544,7.11550134242515,7.4786247211139,4.05420939234514,3.17113352004165,0.725882093349355,0.417351737839928,0.759711575427536,0.710179002894774,0
2017,101.212444738755,96.4654298264025,151.614362838457,15.0321962036759,17.79014179748,13.5942165531135,3.36633611640196,3.68615877830727,2.4965633399777,1.20618587024043,0.306654906764864,0.189834225132034,0.533233384984692,0.306654906764864
